,test_accuracy,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_f1_pos,test_f1_neg,test_roc_auc
0,0.8546511627906976,0.7611940298507462,0.9142857142857143,0.85,0.8571428571428571,0.8031496062992126,0.8847926267281107,0.9357142857142857
1,0.8895348837209303,0.85,0.9107142857142857,0.8360655737704918,0.918918918918919,0.8429752066115702,0.9147982062780269,0.9155220794565057
2,0.877906976744186,0.7702702702702703,0.9591836734693877,0.9344262295081968,0.8468468468468469,0.8444444444444444,0.8995215311004785,0.9490474080638015
3,0.8197674418604651,0.7142857142857143,0.8921568627450981,0.819672131147541,0.8198198198198198,0.7633587786259542,0.8544600938967136,0.8613203367301727
4,0.8372093023255814,0.746268656716418,0.8952380952380953,0.819672131147541,0.8468468468468469,0.78125,0.8703703703703703,0.8920395805641707
5,0.8546511627906976,0.7432432432432432,0.9387755102040817,0.9016393442622951,0.8288288288288288,0.8148148148148148,0.8803827751196173,0.9354600502141486
6,0.8895348837209303,0.8387096774193549,0.9181818181818182,0.8524590163934426,0.9099099099099099,0.8455284552845529,0.9140271493212669,0.942253729138975
7,0.8488372093023255,0.7611940298507462,0.9047619047619048,0.8360655737704918,0.8558558558558559,0.796875,0.8796296296296297,0.9105006645990252
8,0.8430232558139535,0.7833333333333333,0.875,0.7704918032786885,0.8828828828828829,0.7768595041322314,0.8789237668161435,0.9073992024811697
9,0.8538011695906432,0.8181818181818182,0.8706896551724138,0.75,0.9099099099099099,0.782608695652174,0.8898678414096917,0.9111111111111111
10,0.8430232558139535,0.72,0.9381443298969072,0.9,0.8125,0.8,0.8708133971291866,0.9191964285714286
11,0.877906976744186,0.8333333333333334,0.9017857142857143,0.819672131147541,0.9099099099099099,0.8264462809917356,0.905829596412556,0.9220203810367744
12,0.8430232558139535,0.7741935483870968,0.8818181818181818,0.7868852459016393,0.8738738738738738,0.7804878048780488,0.8778280542986425,0.8725446758233644
13,0.9244186046511628,0.8870967741935484,0.9454545454545454,0.9016393442622951,0.9369369369369369,0.8943089430894309,0.9411764705882353,0.963077831930291
14,0.8546511627906976,0.7727272727272727,0.9056603773584906,0.8360655737704918,0.8648648648648649,0.8031496062992126,0.8847926267281107,0.9220203810367745
15,0.877906976744186,0.8125,0.9166666666666666,0.8524590163934426,0.8918918918918919,0.832,0.9041095890410958,0.927780239255649
16,0.813953488372093,0.704225352112676,0.8910891089108911,0.819672131147541,0.8108108108108109,0.7575757575757576,0.8490566037735849,0.9267464185496972
17,0.8372093023255814,0.7619047619047619,0.8807339449541285,0.7868852459016393,0.8648648648648649,0.7741935483870968,0.8727272727272727,0.8812583074878158
18,0.8604651162790697,0.7761194029850746,0.9142857142857143,0.8524590163934426,0.8648648648648649,0.8125,0.8888888888888888,0.926007975188303
19,0.8245614035087719,0.734375,0.8785046728971962,0.7833333333333333,0.8468468468468469,0.7580645161290323,0.8623853211009175,0.87987987987988
20,0.8837209302325582,0.8125,0.9259259259259259,0.8666666666666667,0.8928571428571429,0.8387096774193549,0.9090909090909091,0.9357142857142857
21,0.8662790697674418,0.8166666666666667,0.8928571428571429,0.8032786885245902,0.9009009009009009,0.8099173553719008,0.8968609865470852,0.9131590607000443
22,0.8488372093023255,0.7536231884057971,0.912621359223301,0.8524590163934426,0.8468468468468469,0.8,0.8785046728971962,0.9096145325653522
23,0.8662790697674418,0.7878787878787878,0.9150943396226415,0.8524590163934426,0.8738738738738738,0.8188976377952756,0.8940092165898618,0.9400383990547926
24,0.872093023255814,0.819672131147541,0.9009009009009009,0.819672131147541,0.9009009009009009,0.819672131147541,0.9009009009009009,0.9144882587505538
25,0.813953488372093,0.7164179104477612,0.8761904761904762,0.7868852459016393,0.8288288288288288,0.75,0.8518518518518519,0.8778614680254024
26,0.8430232558139535,0.7575757575757576,0.8962264150943396,0.819672131147541,0.8558558558558559,0.7874015748031497,0.8755760368663594,0.9217250036922169
27,0.8604651162790697,0.8135593220338984,0.8849557522123894,0.7868852459016393,0.9009009009009009,0.8,0.8928571428571429,0.9004578348840644
28,0.8488372093023255,0.7536231884057971,0.912621359223301,0.8524590163934426,0.8468468468468469,0.8,0.8785046728971962,0.9121252399940925
