,test_accuracy,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_f1_pos,test_f1_neg,test_roc_auc
0,0.9534883720930233,0.9482758620689655,0.956140350877193,0.9166666666666666,0.9732142857142857,0.9322033898305084,0.9646017699115044,0.944047619047619
1,0.9476744186046512,0.9642857142857143,0.9396551724137931,0.8852459016393442,0.9819819819819819,0.9230769230769231,0.960352422907489,0.969428444838281
2,0.936046511627907,0.9310344827586207,0.9385964912280702,0.8852459016393442,0.963963963963964,0.907563025210084,0.9511111111111111,0.9809481612760301
3,0.8837209302325582,0.8153846153846154,0.9252336448598131,0.8688524590163934,0.8918918918918919,0.8412698412698413,0.908256880733945,0.898980948161276
4,0.9186046511627907,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.9599025254762961
5,0.9244186046511628,0.9,0.9375,0.8852459016393442,0.9459459459459459,0.8925619834710744,0.9417040358744395,0.9603455914931325
6,0.9302325581395349,0.9152542372881356,0.9380530973451328,0.8852459016393442,0.954954954954955,0.9,0.9464285714285714,0.9435090828533452
7,0.936046511627907,0.9464285714285714,0.9310344827586207,0.8688524590163934,0.972972972972973,0.905982905982906,0.9515418502202643,0.9444690592231577
8,0.9186046511627907,0.9272727272727272,0.9145299145299145,0.8360655737704918,0.963963963963964,0.8793103448275862,0.9385964912280702,0.9466843893073401
9,0.9415204678362573,1.0,0.9173553719008265,0.8333333333333334,1.0,0.9090909090909091,0.9568965517241379,0.9295795795795797
10,0.9302325581395349,0.9,0.9464285714285714,0.9,0.9464285714285714,0.9,0.9464285714285714,0.945014880952381
11,0.9244186046511628,0.8870967741935484,0.9454545454545454,0.9016393442622951,0.9369369369369369,0.8943089430894309,0.9411764705882353,0.9445429035592969
12,0.9244186046511628,0.9444444444444444,0.9152542372881356,0.8360655737704918,0.972972972972973,0.8869565217391304,0.9432314410480349,0.9080638015064245
13,0.9418604651162791,0.9473684210526315,0.9391304347826087,0.8852459016393442,0.972972972972973,0.9152542372881356,0.9557522123893806,0.9608625018461083
14,0.9302325581395349,0.9152542372881356,0.9380530973451328,0.8852459016393442,0.954954954954955,0.9,0.9464285714285714,0.9676561807709348
15,0.9476744186046512,0.9333333333333333,0.9553571428571429,0.9180327868852459,0.963963963963964,0.9256198347107438,0.9596412556053812,0.9599025254762958
16,0.9302325581395349,0.8888888888888888,0.9541284403669725,0.9180327868852459,0.9369369369369369,0.9032258064516129,0.9454545454545454,0.9626347659134544
17,0.8895348837209303,0.875,0.896551724137931,0.8032786885245902,0.9369369369369369,0.8376068376068376,0.9162995594713657,0.9237926451041205
18,0.9244186046511628,0.9,0.9375,0.8852459016393442,0.9459459459459459,0.8925619834710744,0.9417040358744395,0.9652931620144735
19,0.9181286549707602,0.896551724137931,0.9292035398230089,0.8666666666666667,0.9459459459459459,0.8813559322033898,0.9375,0.9357357357357359
20,0.9476744186046512,0.9047619047619048,0.9724770642201835,0.95,0.9464285714285714,0.926829268292683,0.9592760180995475,0.9656994047619047
21,0.9418604651162791,0.9322033898305084,0.9469026548672567,0.9016393442622951,0.963963963963964,0.9166666666666666,0.9553571428571429,0.9520011815093782
22,0.9186046511627907,0.873015873015873,0.944954128440367,0.9016393442622951,0.9279279279279279,0.8870967741935484,0.9363636363636364,0.9432875498449269
23,0.9186046511627907,0.9122807017543859,0.9217391304347826,0.8524590163934426,0.954954954954955,0.8813559322033898,0.9380530973451328,0.968394624132329
24,0.9302325581395349,0.9454545454545454,0.9230769230769231,0.8524590163934426,0.972972972972973,0.896551724137931,0.9473684210526315,0.9360508049032641
25,0.9186046511627907,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.9507458277950082
26,0.9302325581395349,0.9152542372881356,0.9380530973451328,0.8852459016393442,0.954954954954955,0.9,0.9464285714285714,0.9494166297444986
27,0.9186046511627907,0.9433962264150944,0.907563025210084,0.819672131147541,0.972972972972973,0.8771929824561403,0.9391304347826087,0.9122729286663712
28,0.9011627906976745,0.8928571428571429,0.9051724137931034,0.819672131147541,0.9459459459459459,0.8547008547008547,0.9251101321585903,0.9367154039285186
29,0.935672514619883,0.9016393442622951,0.9545454545454546,0.9166666666666666,0.9459459459459459,0.9090909090909091,0.9502262443438914,0.9528528528528529
30,0.9418604651162791,0.9166666666666666,0.9553571428571429,0.9166666666666666,0.9553571428571429,0.9166666666666666,0.9553571428571429,0.9770089285714285
31,0.9186046511627907,0.8983050847457628,0.9292035398230089,0.8688524590163934,0.9459459459459459,0.8833333333333333,0.9375,0.936050804903264
32,0.936046511627907,0.9464285714285714,0.9310344827586207,0.8688524590163934,0.972972972972973,0.905982905982906,0.9515418502202643,0.9492689410722197
33,0.9244186046511628,0.9137931034482759,0.9298245614035088,0.8688524590163934,0.954954954954955,0.8907563025210085,0.9422222222222222,0.9567272190223011
34,0.9244186046511628,0.9285714285714286,0.9224137931034483,0.8524590163934426,0.963963963963964,0.8888888888888888,0.9427312775330396,0.9418106631221386
35,0.9302325581395349,0.9454545454545454,0.9230769230769231,0.8524590163934426,0.972972972972973,0.896551724137931,0.9473684210526315,0.9397430217102348
36,0.9127906976744186,0.8709677419354839,0.9363636363636364,0.8852459016393442,0.9279279279279279,0.8780487804878049,0.9321266968325792,0.9232757347511447
37,0.8837209302325582,0.8253968253968254,0.9174311926605505,0.8524590163934426,0.9009009009009009,0.8387096774193549,0.9090909090909091,0.9244572441293752
38,0.9418604651162791,0.9473684210526315,0.9391304347826087,0.8852459016393442,0.972972972972973,0.9152542372881356,0.9557522123893806,0.9585733274257864
39,0.935672514619883,0.8769230769230769,0.9716981132075472,0.95,0.9279279279279279,0.912,0.9493087557603687,0.9494744744744745
40,0.9418604651162791,0.9166666666666666,0.9553571428571429,0.9166666666666666,0.9553571428571429,0.9166666666666666,0.9553571428571429,0.9531249999999999
41,0.9127906976744186,0.8709677419354839,0.9363636363636364,0.8852459016393442,0.9279279279279279,0.8780487804878049,0.9321266968325792,0.9516319598286811
42,0.9186046511627907,0.8983050847457628,0.9292035398230089,0.8688524590163934,0.9459459459459459,0.8833333333333333,0.9375,0.9460936346182248
43,0.9418604651162791,0.9473684210526315,0.9391304347826087,0.8852459016393442,0.972972972972973,0.9152542372881356,0.9557522123893806,0.9565056860138826
44,0.9011627906976745,0.84375,0.9351851851851852,0.8852459016393442,0.9099099099099099,0.864,0.9223744292237442,0.9449859695761335
45,0.9244186046511628,0.8870967741935484,0.9454545454545454,0.9016393442622951,0.9369369369369369,0.8943089430894309,0.9411764705882353,0.9233495790872839
46,0.9302325581395349,0.9298245614035088,0.9304347826086956,0.8688524590163934,0.963963963963964,0.8983050847457628,0.9469026548672567,0.9490474080638015
47,0.9418604651162791,0.9180327868852459,0.954954954954955,0.9180327868852459,0.954954954954955,0.9180327868852459,0.954954954954955,0.9660316053758677
48,0.9069767441860465,0.9411764705882353,0.8925619834710744,0.7868852459016393,0.972972972972973,0.8571428571428571,0.9310344827586207,0.9243833997932359
49,0.935672514619883,0.9622641509433962,0.923728813559322,0.85,0.9819819819819819,0.9026548672566371,0.9519650655021834,0.9591591591591592
50,0.9186046511627907,0.8833333333333333,0.9375,0.8833333333333333,0.9375,0.8833333333333333,0.9375,0.9477678571428572
