,test_accuracy,test_precision_pos,test_precision_neg,test_recall_pos,test_recall_neg,test_f1_pos,test_f1_neg,test_roc_auc
0,0.9534883720930233,0.9333333333333333,0.9642857142857143,0.9333333333333333,0.9642857142857143,0.9333333333333333,0.9642857142857143,0.9504464285714286
1,0.9709302325581395,0.9666666666666667,0.9732142857142857,0.9508196721311475,0.9819819819819819,0.9586776859504132,0.9775784753363229,0.9695761335105597
2,0.9476744186046512,0.9193548387096774,0.9636363636363636,0.9344262295081968,0.954954954954955,0.926829268292683,0.9592760180995475,0.9305863240289469
3,0.9186046511627907,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.8852459016393442,0.9369369369369369,0.9079161128341455
4,0.9476744186046512,0.8939393939393939,0.9811320754716981,0.9672131147540983,0.9369369369369369,0.9291338582677166,0.9585253456221198,0.9513365824841234
5,0.9476744186046512,0.9193548387096774,0.9636363636363636,0.9344262295081968,0.954954954954955,0.926829268292683,0.9592760180995475,0.9384876679958647
6,0.9476744186046512,0.9482758620689655,0.9473684210526315,0.9016393442622951,0.972972972972973,0.9243697478991597,0.96,0.9440998375424605
7,0.9476744186046512,0.9814814814814815,0.9322033898305084,0.8688524590163934,0.990990990990991,0.9217391304347826,0.9606986899563319,0.901639344262295
8,0.9534883720930233,0.9491525423728814,0.9557522123893806,0.9180327868852459,0.972972972972973,0.9333333333333333,0.9642857142857143,0.9528134692069118
9,0.9473684210526315,0.9636363636363636,0.9396551724137931,0.8833333333333333,0.9819819819819819,0.9217391304347826,0.960352422907489,0.9114864864864864
10,0.9476744186046512,0.9180327868852459,0.963963963963964,0.9333333333333333,0.9553571428571429,0.9256198347107438,0.9596412556053812,0.94375
11,0.9651162790697675,0.9661016949152542,0.9646017699115044,0.9344262295081968,0.9819819819819819,0.95,0.9732142857142857,0.9604932801654111
12,0.9069767441860465,0.8947368421052632,0.9130434782608695,0.8360655737704918,0.9459459459459459,0.864406779661017,0.9292035398230089,0.8848766799586472
13,0.9709302325581395,0.9666666666666667,0.9732142857142857,0.9508196721311475,0.9819819819819819,0.9586776859504132,0.9775784753363229,0.9598286811401565
14,0.9709302325581395,0.9516129032258065,0.9818181818181818,0.9672131147540983,0.972972972972973,0.959349593495935,0.9773755656108597,0.9773297888051986
15,0.9709302325581395,0.9666666666666667,0.9732142857142857,0.9508196721311475,0.9819819819819819,0.9586776859504132,0.9775784753363229,0.963447053610988
16,0.936046511627907,0.8787878787878788,0.9716981132075472,0.9508196721311475,0.9279279279279279,0.9133858267716536,0.9493087557603687,0.9474228326687343
17,0.9476744186046512,0.9193548387096774,0.9636363636363636,0.9344262295081968,0.954954954954955,0.926829268292683,0.9592760180995475,0.9365677152562398
